index,namem,namef,namen,symbol,Difficulty Lvl,Move Rate,Armor Class,Magic Resist,Alignment,generation flags,Attack 1,Attack 2,Attack 3,Attack 4,Attack 5,Attack 6,Weight,Nutrition,Sound,Size,Resistance,Resist Conveyed,Flags 1,Flags 2,Flags 3,color,Comment,c2,c3,diff,diff2,exp,conveyed_prob
,,,giant ant,S_ANT,2,18,3,0,10,G_GENO|G_SGROUP|3,"ATTK(AT_BITE,AD_PHYS,1,4,0,0,0,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,10,10,MS_SILENT,MZ_TINY,,,M1_ANIMAL|M1_CARNIVORE|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_LONGHEAD,M2_HOSTILE,M3_NORMAL|M3_SCENT|M3_TRACKER,3,-,-,-,4,4,8,,,MH_INSECTOID,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,killer bee,S_ANT,1,18,-1,0,10,G_GENO|G_LGROUP|2,"ATTK(AT_STNG,AD_DRST,1,3,0,0,0,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1,5,MS_BUZZ,MZ_TINY,MR_POISON,MR_POISON,M1_FLY|M1_ANIMAL|M1_NOHANDS|M1_ANIMAL|M1_POIS|M1_WINGS|M1_LONGHEAD,M2_HOSTILE|M2_FEMALE,M3_NORMAL|M3_SCENT,11,-,POISON=100|-,-,5,5,26,MR_POISON=T25,,MH_INSECTOID,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,soldier ant,S_ANT,3,18,3,0,10,G_GENO|G_SGROUP|2,"ATTK(AT_BITE,AD_PHYS,2,4,0,0,0,0,0)","ATTK(AT_STNG,AD_ACID,3,4,0,0,0,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,20,20,MS_SILENT,MZ_TINY,MR_ACID,MR_ACID,M1_ANIMAL|M1_CARNIVORE|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_ACID|M1_LONGHEAD,M2_HOSTILE|M2_FEMALE,M3_NORMAL|M3_SCENT|M3_TRACKER,4,UNSTONE=100|-,ACID=100|-,-,6,6,22,MR_ACID=T100,,MH_INSECTOID,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,fire ant,S_ANT,3,18,3,10,10,G_GENO|G_SGROUP|1,"ATTK(AT_BITE,AD_PHYS,2,4,0,0,0,0,0)","ATTK(AT_STNG,AD_FIRE,3,4,0,0,0,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,30,MS_SILENT,MZ_TINY,MR_FIRE,MR_FIRE,M1_ANIMAL|M1_CARNIVORE|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_TOSTY|M1_LONGHEAD,M2_HOSTILE|M2_FEMALE,M3_NORMAL|M3_SCENT|M3_INFRAVISIBLE|M3_TRACKER,1,-,HOT=100|-,-,6,6,22,MR_FIRE=T150,,MH_INSECTOID,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,giant beetle,S_ANT,5,6,4,0,0,G_GENO|3,"ATTK(AT_BITE,AD_PHYS,3,6,0,0,0,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,3000,800,MS_SILENT,MZ_LARGE,MR_POISON,MR_POISON,M1_ANIMAL|M1_CARNIVORE|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_POIS|M1_LONGHEAD,M2_HOSTILE,M3_NORMAL|M3_SCENT,0,-,POISON=100|-,-,6,6,26,MR_POISON=33,M4_RSLASH,MH_INSECTOID,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,queen bee,S_ANT,9,24,-4,0,10,G_GENO|G_NOGEN|0,"ATTK(AT_STNG,AD_DRST,1,8,0,0,0,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,1,10,MS_BUZZ,MZ_TINY,MR_POISON,MR_POISON,M1_FLY|M1_ANIMAL|M1_CARNIVORE|M1_NOHANDS|M1_ANIMAL|M1_OVIPAROUS|M1_POIS|M1_WINGS|M1_LONGHEAD,M2_HOSTILE|M2_FEMALE|M2_PRINCE,M3_NORMAL|M3_SCENT,5,-,POISON=100|-,-,12,12,180,MR_POISON=60,,MH_INSECTOID,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,vermiurge,S_ANT,42,24,-30,0,20,1,"ATTK(AT_CLAW,AD_PHYS,3,10,0,0,0,0,0)","ATTK(AT_CLAW,AD_PHYS,3,10,0,1,0,0,0)","ATTK(AT_CLAW,AD_PHYS,3,10,0,0,0,0,0)","ATTK(AT_CLAW,AD_PHYS,3,10,0,0,0,0,0)","ATTK(AT_STNG,AD_SVPN,1,6,0,0,0,0,0)",NO_ATTK,3000,800,MS_BUZZ,MZ_LARGE,MR_POISON,MR_POISON,M1_FLY|M1_MINDLESS|M1_CARNIVORE|M1_ANIMAL|M1_OVIPAROUS|M1_POIS|M1_WINGS|M1_LONGHEAD|M1_NOGLOVES|M1_REGEN,M2_HOSTILE|M2_NOPOLY|M2_PRINCE,M3_LOWLIGHT2|M3_SCENT|M3_NOWISH|M3_SANLOSS|M3_INSIGHT,13,-,POISON=100|-,-,50,50,2107,MR_POISON=100,M4_RBLUNT|M4_RSLASH|M4_EYE_OF_YGG,MH_INSECTOID,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,20,7,13,0,0,0,0,0,0,0,0,0,0,30,0
,,,valavi,S_ANT,15,18,0,50,10,G_NOGEN|0,"ATTK(AT_WEAP,AD_PHYS,4,4,0,0,0,0,0)","ATTK(AT_XWEP,AD_PHYS,4,4,0,0,0,0,0)","ATTK(AT_MARI,AD_PHYS,4,4,0,0,0,0,0)","ATTK(AT_MARI,AD_PHYS,4,4,0,0,0,0,0)",NO_ATTK,NO_ATTK,1450,400,MS_HUMANOID,MZ_MEDIUM,,,M1_CARNIVORE|M1_HERBIVORE|M1_HUMANOID,M2_PEACEFUL|M2_COLLECT|M2_MAGIC|M2_STRONG|M2_NOPOLY,M3_NORMAL|M3_SCENT|M3_NOWISH,15,-,-,-,19,19,300,,M4_MARTIAL_S|M4_ELDER_EYE_PLANES,MH_INSECTOID|MH_MINION,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
,,,trilobite,S_ANT,3,12,3,0,0,G_NOGEN|0,"ATTK(AT_BITE,AD_PHYS,1,4,0,0,0,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,140,100,MS_SILENT,MZ_TINY,,,M1_ANIMAL|M1_CARNIVORE|M1_NOHANDS|M1_NOHEAD|M1_ANIMAL|M1_OVIPAROUS,M2_HOSTILE,M3_NORMAL|M3_SCENT|M3_TRACKER,7,-,-,-,4,4,10,,,MH_INSECTOID,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,silvergrub,S_ANT,3,6,3,0,-2,G_NOGEN|0,"ATTK(AT_BITE,AD_PHYS,1,4,0,0,0,0,0)","ATTK(AT_MMGC,AD_CLRC,0,0,0,0,0,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,750,400,MS_SILENT,MZ_SMALL,,,M1_CARNIVORE|M1_HERBIVORE|M1_NOHANDS|M1_ANIMAL|M1_SLITHY|M1_OVIPAROUS|M1_LONGHEAD,M2_STALK|M2_COLLECT|M2_HOSTILE,M3_NORMAL|M3_SCENT|M3_INFRAVISIBLE,7,-,HUMAN=100|-,-,6,6,23,,,MH_HUMAN,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,silverman,S_ANT,9,14,-2,0,-6,G_LGROUP|5,"ATTK(AT_WEAP,AD_PHYS,1,8,0,0,0,0,0)","ATTK(AT_XWEP,AD_PHYS,1,8,0,0,0,0,0)","ATTK(AT_BITE,AD_PHYS,2,4,0,0,0,0,0)","ATTK(AT_MMGC,AD_CLRC,0,0,0,0,0,0,0)",NO_ATTK,NO_ATTK,1450,400,MS_SILENT,MZ_MEDIUM,,,M1_CARNIVORE|M1_HERBIVORE|M1_HUMANOID|M1_SLITHY|M1_LONGHEAD|M1_HAS_FEET,M2_STALK|M2_COLLECT|M2_MAGIC|M2_HOSTILE|M2_STRONG,M3_NORMAL|M3_SCENT|M3_INFRAVISIBLE,7,-,HUMAN=100|-,-,15,15,180,,M4_MARTIAL_S|M4_BAB_FULL|M4_LEVEL_30,MH_HUMAN,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,7,5,0,2,2,2,2,2,0,0,0,0,0,0,0
,,,acid blob,S_BLOB,1,3,8,0,-10,G_GENO|2,"ATTK(AT_NONE,AD_ACID,1,8,0,0,0,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,30,10,MS_SILENT,MZ_TINY,MR_SLEEP|MR_POISON|MR_ACID|MR_STONE,MR_STONE,M1_AMORPHOUS|M1_BREATHLESS|M1_MINDLESS|M1_NOEYES|M1_NOLIMBS|M1_NOHEAD|M1_ACID,M2_WANDER|M2_NEUTER,M3_SCENT,2,UNSTONE=100|-,ACID=100|-,-,2,2,4,,M4_RBLUNT|M4_ELDER_SIGN,MH_PRIMORDIAL,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,blob of preserved organs,S_BLOB,1,0,10,0,-10,G_NOGEN|0,"ATTK(AT_NONE,AD_PLYS,1,8,0,0,0,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,750,400,MS_SILENT,MZ_SMALL,MR_SLEEP|MR_POISON|MR_ACID|MR_STONE,,M1_AMORPHOUS|M1_NOLIMBS|M1_NOHEAD|M1_POIS,M2_WANDER|M2_HOSTILE|M2_NEUTER,M3_STATIONARY|M3_NORMAL|M3_SANLOSS,11,-,POISON=100|-,-,2,2,3,,M4_ELDER_EYE_ENERGY,MH_UNDEAD,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,quivering blob,S_BLOB,5,1,8,0,0,G_GENO|2,"ATTK(AT_TUCH,AD_PHYS,1,8,0,0,0,0,0)","ATTK(AT_NONE,AD_PHYS,1,8,0,0,0,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,140,100,MS_SILENT,MZ_SMALL,MR_SLEEP|MR_POISON,MR_SLEEP|MR_POISON,M1_MINDLESS|M1_NOEYES|M1_NOLIMBS|M1_NOHEAD,M2_WANDER|M2_HOSTILE|M2_NEUTER,M3_SCENT,15,-,-,-,6,6,29,MR_SLEEP=T1000|MR_POISON=33,M4_ELDER_SIGN,,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,gelatinous cube,S_BLOB,6,6,8,0,0,G_GENO|2,"ATTK(AT_TUCH,AD_PLYS,2,4,0,0,0,0,0)","ATTK(AT_NONE,AD_PLYS,2,4,0,0,0,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,3000,800,MS_SILENT,MZ_LARGE,MR_FIRE|MR_COLD|MR_SLEEP|MR_ELEC|MR_POISON|MR_ACID|MR_STONE,MR_FIRE|MR_COLD|MR_SLEEP|MR_ELEC|MR_ACID,M1_HIDE|M1_MINDLESS|M1_CARNIVORE|M1_HERBIVORE|M1_NOEYES|M1_NOLIMBS|M1_NOHEAD|M1_ACID,M2_WANDER|M2_HOSTILE|M2_NEUTER,M3_SCENT|M3_TRACKER,6,UNSTONE=100|-,ACID=100|-,-,8,8,52,MR_FIRE=T8000|MR_COLD=T8000|MR_SLEEP=T8000|MR_ELEC=T8000|MR_ACID=T8000,M4_RBLUNT|M4_RPIERCE|M4_ELDER_SIGN,,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,crystal ooze,S_BLOB,8,6,8,0,-5,G_GENO|G_NOGEN|0,"ATTK(AT_TUCH,AD_PLYS,4,4,0,0,0,0,0)","ATTK(AT_TUCH,AD_WRAP,1,1,0,0,0,0,0)","ATTK(AT_NONE,AD_CORR,0,0,0,0,0,0,0)",NO_ATTK,NO_ATTK,NO_ATTK,3000,800,MS_SILENT,MZ_LARGE,MR_FIRE|MR_COLD|MR_SLEEP|MR_POISON|MR_ACID|MR_STONE,MR_FIRE|MR_COLD|MR_SLEEP|MR_ACID,M1_SWIM|M1_MINDLESS|M1_CARNIVORE|M1_HERBIVORE|M1_NOEYES|M1_NOLIMBS|M1_NOHEAD|M1_ACID,M2_WANDER|M2_HOSTILE|M2_NEUTER,M3_SCENT|M3_TRACKER,6,UNSTONE=100|-,ACID=100|-,-,11,11,95,MR_FIRE=T8000|MR_COLD=T8000|MR_SLEEP=T8000|MR_ACID=T8000,M4_RBLUNT|M4_ELDER_SIGN,,NO_ATTK,NO_ATTK,NO_ATTK,NO_ATTK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
